"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"""2MAC, LLC BUILDING""","","","","75","Ground water","PO BOX 975
CASHIERS, NC 28717","","",""
"115 GAS AND GRILL","","","","25","Ground water","1208 UNION CHURCH RD
HAMPTONVILLE, NC 27020","704-592-5420","",""
"1ST ST PAUL`S BAPT CHURCH","","","","50","Ground water","PO BOX 442
WHITEVILLE, NC 28472","910-642-5305","",""
"2000 PARK PLACE","","","","38","Ground water","301 EAST RALEIGH ST
SILER CITY, NC 27344","919-663-3066","",""
"24 FIT","","","","50","Ground water","2217 LOBLOLLY CT
WILMINGTON, NC 28411","910-473-1900","",""
"268 FOOD MART INC","","","","25","Ground water","116 BRAY FORD RD
DOBSON, NC 27017","336-374-3629","",""
"3 POINTS GROCERY & GRILL","","","","25","Ground water","11126 NC HWY 62 SOUTH
BURLINGTON, NC 27217","","",""
"3 POINTS GROCERY & GRILL  NO 2","","","","25","Ground water","15645 HWY 86 SOUTH
PROSPECT HILL, NC 28134","336-562-3000","",""
"3 SISTERS CAFE","","","","25","Ground water","5891 NC HWY 65
REIDSVILLE, NC 27320","336-637-8617","",""
"401 MOBILE HOME PARK","","","","90","Ground water","211 THORNCLIFF DR
RAEFORD, NC 28376","","",""
"7 ELEVEN ENOCHVILLE","","","","30","Ground water","2720 WEST C STREET
KANNAPOLIS, NC 28081","704-933-3380","",""
"70 EAST MOBILE ACRES","","","","229","Ground water","7536 NC 39 HWY
ZEBULON, NC 27597","919-404-1668","",""
"82ND ABN DIV PRE RANGER FACILTY","","","","50","Ground water","BLDG 3-1631 BUTNER RD - DEPT OF ARMY DPW
HQ FT BRAGG GARRISON - INSTALLATION MGMT
FORT BRAGG, NC 28310-5000","910-907-1755","",""
"A B FOODMART","","","","100","Ground water","17331 US HWY 421
WATHA, NC 28478","910-283-7780","",""
"A COUNTRY PLACE","","","","91","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"A TASTE OF COUNTRY DINER","","","","25","Ground water","1724 DINKINS BOTTOM RD
YADKINVILLE, NC 27055","336-961-0255","",""
"ABBEY INN","","","","25","Ground water","7008 WILKINSON BLVD
BELMONT, NC 28012","704-825-5506","",""
"ABERDEEN TRAINING FACILITY","","","","75","Ground water","BLDG 3-1631 BUTNER RD - DEPT OF ARMY DPW
HQ FT BRAGG GARRISON - INSTALLATION MGMT
FORT BRAGG, NC 28310-5000","910-907-1755","",""
"ABERDEEN, TOWN OF","","","","9,935","Ground water","PO BOX 785
ABERDEEN, NC 28315","910-944-7012","",""
"ABINGTON S/D","","","","1,506","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"ABSHER FLOWERS VFW POST 9337","","","","30","Ground water","PO BOX 1403
GASTONIA, NC 28053","704-864-7321","",""
"ABUNDANT LIFE ASSEMBLY OF GOD","","","","100","Ground water","5348 JAMES B WHITE HWY
WHITEVILLE, NC 28472","910-642-5003","",""
"ABUNDANT LIFE FAITH MINISTRY","","","","100","Ground water","1551 FARRINGTON POINT RD
CHAPEL HILL, NC 27517","919-616-4273","",""
"ABUNDANT LIFE FOUR SQUARE CHURCH","","","","100","Ground water","119 FOUR SQUARE RD
MOORESVILLE, NC 28115","704-663-1523","",""
"ACORN RIDGE BAPT CHURCH","","","","100","Ground water","288 ACORN RIDGE CHURCH RD
ROBBINS, NC 28325","910-464-3310","",""
"ACRES OF SPACE MHP","","","","332","Ground water","7536 NC 39 HWY
ZEBULON, NC 27597","919-404-1668","",""
"ADAMS MHP","","","","80","Ground water","12862 BUCK ROAD
MIDDLESEX, NC 27557","","",""
"ADVANCED DIGITAL CABLE","","","","68","Ground water","94 EAGLE FORK RD
HAYESVILLE, NC 28904","828-389-0445","",""
"ADVENTURE TRAIL CAMPGROUND","","","","96","Ground water","PO BOX 1673
CHEROKEE, NC 28719","","",""
"ADVENTURE VILLAGE","","","","114","Ground water","2020 HOWARD GAP RD
HENDERSONVILLE, NC 28792","828-691-7191","",""
"AFFORDABLE DENTURES","","","","50","Ground water","3055 SANDEROSA RD
FAYETTEVILLE, NC 28312","910-438-9301","",""
"AGAPE BAPTIST CHURCH","","","","99","Ground water","1451 MEBANE OAKS RD
MEBANE, NC 27302","919-563-1990","",""
"AGATE`S INN AT THE PONDS","","","","25","Ground water","9189-4 NC HWY 105 SOUTH
BANNER ELK, NC 28604","828-963-6547","",""
"AHOSKIE, TOWN OF","","","","5,479","Ground water","PO BOX 767
AHOSKIE, NC 27910","252-287-7637","",""
"AJ`S FOOD MART","","","","100","Ground water","6204 TEN TEN RD
APEX, NC 27502","919-779-3900","",""
"ALAMANCE PRESBYTERIAN CH/DAYCA","","","","150","Ground water","1543 ABBEY COURT
WINSTON SALEM, NC 27103","336-972-3778","",""
"ALAN ACRES","","","","356","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"ALBANY ACRES S/D","","","","84","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"ALBEMARLE WESLEYAN CHURCH","","","","25","Ground water","417 EAST ST
ALBEMARLE, NC 28001","704-983-2413","",""
"ALBEMARLE, CITY OF","","","","16,000","Surface water","PO BOX 190
ALBEMARLE, NC 28002","704-984-9608","",""
"ALDERMAN ROAD ELEMENTARY","","","","770","Ground water","810 GILLESPIE ST
CUMBERLAND CO SCHOOLS - MECH MNTC SUPV
FAYETTEVILLE, NC 28306","910-678-2647","",""
"ALERT PENTECOSTAL HOLINESS CH","","","","40","Ground water","2403 PETE SMITH ROAD
LOUISBURG, NC 27549","","",""
